15:53:45.121824 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.121825 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.121892 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.121958 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.121959 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.122110 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.122111 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.122309 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.122310 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.122397 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.122838 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.122898 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.123528 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.123561 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.123909 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.123910 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.123911 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.123955 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.123956 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.123996 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.124117 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.124118 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.124159 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.124242 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.124372 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.124374 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.124426 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.124426 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.124608 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.124647 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.124661 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.124662 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.124703 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.124852 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.124853 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.124889 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.124891 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.125059 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.125242 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.125939 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.125941 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.125942 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.125942 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.125985 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.126025 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.126190 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.126191 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.126192 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.126225 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.126250 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.126404 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.126405 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.126486 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.126561 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.126562 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.126599 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.126767 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.126769 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.126769 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.126821 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.127479 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.127551 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.128251 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.128252 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.128253 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.128254 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.128264 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.128265 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.128293 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.128362 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.128563 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.128564 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.128619 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.129372 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.129632 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.129802 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.129804 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.129805 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.129805 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.129849 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.130055 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.130057 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.130058 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.130095 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.130178 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.130215 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.130255 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.130351 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.130353 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.130424 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.130500 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.130501 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.130593 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.130634 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.130635 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.130684 s140.233.174.58.60363 d151.101.117.67.443   0       
15:53:45.130850 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.130851 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.130853 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.130881 s151.101.117.67.443   d140.233.174.58.60363 1374    
15:53:45.130934 s140.233.174.58.60363 d151.101.117.67.443   0       
